commit_hash	author_name	author_email	date	repo	message
e410f224e37546104f569c2ff39c84f3cc2bbea5	Jordan Reyes	jreyes@heliouscloud.io	2018-11-28T16:31:07Z	thanos-setup	chore: update grafana dashboard panel configuration
29f521e19d3508b4dc6ef15928733d78e6061644	Jordan Reyes	jreyes@heliouscloud.io	2018-11-30T10:22:05Z	prometheus-config	docs: add comments to thanos configuration
784f7b47237b01a635c1de6a35066316d29eead8	Jordan Reyes	jreyes@heliouscloud.io	2018-11-26T11:47:32Z	prometheus-config	refactor: extract common alert helper macros
ec64e0a4cc24a04c1a25bd3de75b8524f7c926d2	Jordan Reyes	jreyes@heliouscloud.io	2018-12-06T12:37:00Z	slo-tracker	feat: add SLO tracking for checkout-api
05c1a1900a7882402d527a5729db3f02f84ba1ca	Jordan Reyes	jreyes@heliouscloud.io	2018-12-05T15:58:04Z	prometheus-config	fix: resolve incorrect retention period in thanos config
a34510401f1783aec0e98108a8d7b906695d62fd	Jordan Reyes	jreyes@heliouscloud.io	2018-12-04T10:56:21Z	alert-rules-v1	chore: update prometheus scrape intervals
79d05ab46d1160f3e15ee25a76ff9a37ff841f09	Jordan Reyes	jreyes@heliouscloud.io	2018-12-13T15:23:37Z	helios-internal-infra	docs: document alert routing configuration
8125bf01cd695dda66e3945123e43c58e3c2fd3e	Jordan Reyes	jreyes@heliouscloud.io	2018-12-08T11:01:05Z	grafana-dashboards	feat: add grafana annotation for deployment events
5330a26d64b8669008cd83f5b14d0bf1216f9833	Jordan Reyes	jreyes@heliouscloud.io	2018-12-13T16:29:40Z	alert-rules-v1	feat: add prometheus job for helios-gateway
9b3540703ceec72d1336a9abff4472ef09a507bb	Jordan Reyes	jreyes@heliouscloud.io	2018-12-20T14:02:41Z	helios-internal-infra	fix: correct alert label for env selector
5673f5ee7146cc2435e053a37d16d88c710b39e2	Jordan Reyes	jreyes@heliouscloud.io	2018-12-18T11:13:55Z	grafana-dashboards	chore: update grafana dashboard panel configuration
e410acc4a356bac813ff44dfd9e2e8969e3f1068	Jordan Reyes	jreyes@heliouscloud.io	2018-12-20T14:51:03Z	grafana-dashboards	docs: add comments to thanos configuration
6db398d8e5999788b005f4dbaba7743f62f64549	Jordan Reyes	jreyes@heliouscloud.io	2018-12-26T10:25:16Z	thanos-setup	refactor: extract common alert helper macros
191efab99e4bd698abe6f02071e89a344cc94e42	Jordan Reyes	jreyes@heliouscloud.io	2018-12-28T10:01:54Z	thanos-setup	feat: add SLO tracking for checkout-api
644d16098c916b44eb53bb3265698796181fc174	Jordan Reyes	jreyes@heliouscloud.io	2018-12-25T13:41:48Z	thanos-setup	fix: resolve incorrect retention period in thanos config
87cec2193b831112da8eed47442e2001d60ea932	Jordan Reyes	jreyes@heliouscloud.io	2018-12-29T16:51:27Z	grafana-dashboards	chore: update prometheus scrape intervals
4b35b3a04fe5446c373152add6b733c8f152721e	Jordan Reyes	jreyes@heliouscloud.io	2019-01-10T11:22:42Z	slo-tracker	docs: document alert routing configuration
558b42fdbee19425dcee93266c1988a9d6b1705f	Jordan Reyes	jreyes@heliouscloud.io	2019-01-07T12:31:28Z	slo-tracker	feat: add grafana annotation for deployment events
1e2732021769d847c1d44e2d38cb22199424eac2	Jordan Reyes	jreyes@heliouscloud.io	2019-01-14T15:05:48Z	slo-tracker	feat: add prometheus job for helios-gateway
41631046c98d8a234f7b3b0fb45aea3b1b62822c	Jordan Reyes	jreyes@heliouscloud.io	2019-01-14T11:27:40Z	slo-tracker	fix: correct alert label for env selector
c9182b83e72561aabc328a2ce29462477825d7b0	Jordan Reyes	jreyes@heliouscloud.io	2019-01-23T16:43:14Z	grafana-dashboards	chore: update grafana dashboard panel configuration
dccf0883426594e5d3a9781dc0398469bc446779	Jordan Reyes	jreyes@heliouscloud.io	2019-01-27T17:40:41Z	thanos-setup	docs: add comments to thanos configuration
38c8847545671ea4fe9d846c44623916e63250dd	Jordan Reyes	jreyes@heliouscloud.io	2019-01-28T15:05:58Z	thanos-setup	refactor: extract common alert helper macros
a593cb69062c0b866f0e4e05d1b1917093774d68	Jordan Reyes	jreyes@heliouscloud.io	2019-01-28T11:43:57Z	prometheus-config	feat: add SLO tracking for checkout-api
dd469b77d1b2465a2a09f4f650c2b2e24f85b748	Jordan Reyes	jreyes@heliouscloud.io	2019-02-06T13:36:03Z	thanos-setup	fix: resolve incorrect retention period in thanos config
5bf4da4c4487aa333e488c05e9862bc34c4fb515	Jordan Reyes	jreyes@heliouscloud.io	2019-02-13T17:27:26Z	helios-internal-infra	chore: update prometheus scrape intervals
4a08dd0e093c2f3149cf81ae799699592f3d9d72	Jordan Reyes	jreyes@heliouscloud.io	2019-02-21T13:22:16Z	slo-tracker	docs: document alert routing configuration
2a6914c37bb0f577d94f9b0458ac0e3586d0b4d0	Jordan Reyes	jreyes@heliouscloud.io	2019-02-22T09:07:47Z	slo-tracker	feat: add grafana annotation for deployment events
af996b8f7cd44942bb2145d53a8e99016ab36807	Jordan Reyes	jreyes@heliouscloud.io	2019-02-17T15:02:05Z	prometheus-config	feat: add prometheus job for helios-gateway
66b4bfc857003005c726f22a38352555f3cc64ad	Jordan Reyes	jreyes@heliouscloud.io	2019-02-25T16:48:42Z	grafana-dashboards	fix: correct alert label for env selector
2b9fcce3d57be8f9eda45ddebe1ea17450980bd0	Jordan Reyes	jreyes@heliouscloud.io	2019-03-01T14:58:55Z	grafana-dashboards	chore: update grafana dashboard panel configuration
c7ecbe6a797de2a0c5e5f327ee365001b554debe	Jordan Reyes	jreyes@heliouscloud.io	2019-02-24T10:47:38Z	prometheus-config	docs: add comments to thanos configuration
bb80f2ff0761e9589e1bb9938e104590ea2496d8	Jordan Reyes	jreyes@heliouscloud.io	2019-03-02T17:01:00Z	thanos-setup	refactor: extract common alert helper macros
31a090aeeefe522343484b4443a487ed9cd43bef	Jordan Reyes	jreyes@heliouscloud.io	2019-03-02T16:29:44Z	prometheus-config	feat: add SLO tracking for checkout-api
405e442765ac81cdd5168a43bc8e5e93b60ea8e0	Jordan Reyes	jreyes@heliouscloud.io	2019-03-07T16:19:39Z	alert-rules-v1	fix: resolve incorrect retention period in thanos config
3c57f0b2dc3658308fa762bb59f37abb6114ad4a	Jordan Reyes	jreyes@heliouscloud.io	2019-03-11T15:51:19Z	alert-rules-v1	chore: update prometheus scrape intervals
ef4a6d2a02031a6627b26160ea64e171f48f8019	Jordan Reyes	jreyes@heliouscloud.io	2019-03-10T12:07:52Z	helios-internal-infra	docs: document alert routing configuration
ce15cf1529f1f7fdbd81e52697cd012c0b6ee5de	Jordan Reyes	jreyes@heliouscloud.io	2019-03-10T12:30:41Z	helios-internal-infra	feat: add grafana annotation for deployment events
2cc891947b0d11add2a70588cc5f6de2717f3552	Jordan Reyes	jreyes@heliouscloud.io	2019-03-19T17:12:05Z	alert-rules-v1	feat: add prometheus job for helios-gateway
c4042048591f8535ff0a673e3f815b678bb51162	Jordan Reyes	jreyes@heliouscloud.io	2019-03-24T15:01:07Z	thanos-setup	fix: correct alert label for env selector
f795206893c1ae84200904697b8cffc72ecae9a1	Jordan Reyes	jreyes@heliouscloud.io	2019-03-24T16:31:30Z	alert-rules-v1	chore: update grafana dashboard panel configuration
29db3d5462fe113861816e82a9862a0e5cec9cf2	Jordan Reyes	jreyes@heliouscloud.io	2019-04-03T12:18:36Z	prometheus-config	docs: add comments to thanos configuration
9e900d6d49987081fc89da0c858cfc36848a3f88	Jordan Reyes	jreyes@heliouscloud.io	2019-04-02T14:00:06Z	helios-internal-infra	refactor: extract common alert helper macros
a7446dffa315e29f6c2f320e530bb2c30c931a98	Jordan Reyes	jreyes@heliouscloud.io	2019-04-09T16:47:37Z	thanos-setup	feat: add SLO tracking for checkout-api
02a10a999c70de261575fc62399314ae7c61a479	Jordan Reyes	jreyes@heliouscloud.io	2019-04-10T09:31:25Z	grafana-dashboards	fix: resolve incorrect retention period in thanos config
372083b6058c8794a9146e25c3dd6d9b577b32d6	Jordan Reyes	jreyes@heliouscloud.io	2019-04-10T16:14:45Z	alert-rules-v1	chore: update prometheus scrape intervals
ea1ffcb15af3c0bf0d01c2d10c33d2ad95419fed	Jordan Reyes	jreyes@heliouscloud.io	2019-04-16T14:35:04Z	slo-tracker	docs: document alert routing configuration
8811df606f0017925ddd5b8eb4c21c35f05e858d	Jordan Reyes	jreyes@heliouscloud.io	2019-04-23T10:31:39Z	thanos-setup	feat: add grafana annotation for deployment events
378d29abd52b87dc33c681de4439604c7a2125fc	Jordan Reyes	jreyes@heliouscloud.io	2019-04-22T15:01:10Z	thanos-setup	feat: add prometheus job for helios-gateway
efee9b34ed012133a832d04cc875f1db94c66343	Jordan Reyes	jreyes@heliouscloud.io	2019-04-21T14:28:14Z	thanos-setup	fix: correct alert label for env selector
12633fc45f34176c4ca4c2a6ef91ba464aa69557	Jordan Reyes	jreyes@heliouscloud.io	2019-05-02T16:08:56Z	grafana-dashboards	chore: update grafana dashboard panel configuration
d9c728f91754d01b1e26fce0091e9375ba3c4b56	Jordan Reyes	jreyes@heliouscloud.io	2019-05-02T15:53:43Z	thanos-setup	docs: add comments to thanos configuration
f3a0c71e79d6137d3c3e086417bb1d9f53905412	Jordan Reyes	jreyes@heliouscloud.io	2019-04-29T11:39:13Z	thanos-setup	refactor: extract common alert helper macros
87c4e68723cbc1df6bf9c83cc14ac2ae57d515f2	Jordan Reyes	jreyes@heliouscloud.io	2019-05-04T16:08:11Z	alert-rules-v1	feat: add SLO tracking for checkout-api
0fec2f0f916332b56367bfd71fb80bb4ede85af9	Jordan Reyes	jreyes@heliouscloud.io	2019-05-08T10:50:26Z	thanos-setup	fix: resolve incorrect retention period in thanos config
670f33af3e67a5a0a8f991fc43e1eb7162c4d1a4	Jordan Reyes	jreyes@heliouscloud.io	2019-05-07T12:13:35Z	grafana-dashboards	chore: update prometheus scrape intervals
99d9edae9a34e8cddc4a9f7498558096e520b5c2	Jordan Reyes	jreyes@heliouscloud.io	2019-05-13T14:43:10Z	grafana-dashboards	docs: document alert routing configuration
de6fe2c68691fa127c21d80ff3081371790b8248	Jordan Reyes	jreyes@heliouscloud.io	2019-05-18T14:27:07Z	helios-internal-infra	feat: add grafana annotation for deployment events
c4f618736071fa61ccc080eca73dcd6a1ee4bd1a	Jordan Reyes	jreyes@heliouscloud.io	2019-05-18T12:31:16Z	slo-tracker	feat: add prometheus job for helios-gateway
5bec3d63d43bdf1849af5704874264c59fec5498	Jordan Reyes	jreyes@heliouscloud.io	2019-05-24T09:49:56Z	grafana-dashboards	fix: correct alert label for env selector
6fabe19440837c719662199db2fe6f6d345c397c	Jordan Reyes	jreyes@heliouscloud.io	2019-05-31T17:38:42Z	alert-rules-v1	chore: update grafana dashboard panel configuration
e78256e99654ad7b82cc2b4c1fc40e6211f954be	Jordan Reyes	jreyes@heliouscloud.io	2019-06-04T10:06:50Z	thanos-setup	docs: add comments to thanos configuration
983e2b26caf4cc769644d644de9da97bf77e78e3	Jordan Reyes	jreyes@heliouscloud.io	2019-06-14T09:32:06Z	slo-tracker	refactor: extract common alert helper macros
3f8f1dacb3662da6c2bd5503acd089f9442b7253	Jordan Reyes	jreyes@heliouscloud.io	2019-06-21T14:10:46Z	prometheus-config	feat: add SLO tracking for checkout-api
5f6856fffaab50192a7b5c06e9d3bc8acdeb1448	Jordan Reyes	jreyes@heliouscloud.io	2019-06-28T16:46:55Z	slo-tracker	fix: resolve incorrect retention period in thanos config
6c2d33b27062d04ef13fd9dffef36c45a19bddbe	Jordan Reyes	jreyes@heliouscloud.io	2019-06-27T14:52:08Z	grafana-dashboards	chore: update prometheus scrape intervals
d7f4056166c18c6e871eb3d14023440263d24d7b	Jordan Reyes	jreyes@heliouscloud.io	2019-07-02T09:15:53Z	thanos-setup	docs: document alert routing configuration
bb8bbddfd59343a133c3e8feb18fd8e6f2dce102	Jordan Reyes	jreyes@heliouscloud.io	2019-07-08T11:05:17Z	slo-tracker	feat: add grafana annotation for deployment events
50a3c63f98c9598935bad34573d55ac1c46deb93	Jordan Reyes	jreyes@heliouscloud.io	2019-07-12T14:40:42Z	thanos-setup	feat: add prometheus job for helios-gateway
169b03008a91c8c3a0e0d80148747b54e0fd2f7c	Jordan Reyes	jreyes@heliouscloud.io	2019-07-16T11:51:27Z	prometheus-config	fix: correct alert label for env selector
73b0b4a63e786116e0566ee5efc91bf227478a1e	Jordan Reyes	jreyes@heliouscloud.io	2019-07-16T17:50:43Z	thanos-setup	chore: update grafana dashboard panel configuration
c418b64ebd4181cc37d83581c91fbe61afdc00f4	Jordan Reyes	jreyes@heliouscloud.io	2019-07-13T11:49:00Z	thanos-setup	docs: add comments to thanos configuration
33a0f26d93901f45c55c2f71fdf6d44b12c30a18	Jordan Reyes	jreyes@heliouscloud.io	2019-07-20T14:20:25Z	helios-internal-infra	refactor: extract common alert helper macros
6f48143e3f1fb6f9a2191d0441b1ee75da48dfd3	Jordan Reyes	jreyes@heliouscloud.io	2019-07-21T09:25:48Z	thanos-setup	feat: add SLO tracking for checkout-api
41eb58c49316594fae92d6deb453f28a8690a6dd	Jordan Reyes	jreyes@heliouscloud.io	2019-07-25T09:40:45Z	prometheus-config	fix: resolve incorrect retention period in thanos config
6555f861aab8e684596882d3b95cb5e6f5ea893c	Jordan Reyes	jreyes@heliouscloud.io	2019-07-29T15:56:43Z	thanos-setup	chore: update prometheus scrape intervals
3bf5adb25c0baa68b2b23aa0a56cb6319a7d69bf	Jordan Reyes	jreyes@heliouscloud.io	2019-08-02T14:58:22Z	grafana-dashboards	docs: document alert routing configuration
d61b45c96b94c53c585f9e4fff6ca2519570ff29	Jordan Reyes	jreyes@heliouscloud.io	2019-07-29T11:44:25Z	slo-tracker	feat: add grafana annotation for deployment events
3dcae9681735829055eacbcd98b747fd71c6a7cc	Jordan Reyes	jreyes@heliouscloud.io	2019-08-07T16:44:22Z	slo-tracker	feat: add prometheus job for helios-gateway
35f44a709a7afc357346d4a894422cc61a6f3318	Jordan Reyes	jreyes@heliouscloud.io	2019-08-13T13:05:02Z	prometheus-config	fix: correct alert label for env selector
4f838d746ae8eab8bfc5dc1eb969f15ac17fd7e5	Jordan Reyes	jreyes@heliouscloud.io	2019-08-13T11:33:34Z	alert-rules-v1	chore: update grafana dashboard panel configuration
f9e76ddda851bdc2bb47ddf2ed389172aa6e5a26	Jordan Reyes	jreyes@heliouscloud.io	2019-08-10T17:19:33Z	slo-tracker	docs: add comments to thanos configuration
795293ec3e8d1f87c39e6ecfbe78f41439bcf272	Jordan Reyes	jreyes@heliouscloud.io	2019-08-18T09:56:50Z	helios-internal-infra	refactor: extract common alert helper macros
3b5857920f337afc7b2850074cdf30ed3a06c5f5	Jordan Reyes	jreyes@heliouscloud.io	2019-08-19T13:46:27Z	prometheus-config	feat: add SLO tracking for checkout-api
6a35a74e63402961d8350238fa68ec6ec8542a35	Jordan Reyes	jreyes@heliouscloud.io	2019-08-17T09:53:23Z	alert-rules-v1	fix: resolve incorrect retention period in thanos config
781d0ac4f7160269e293033a27fe78883fadd089	Jordan Reyes	jreyes@heliouscloud.io	2019-08-26T09:48:41Z	helios-internal-infra	chore: update prometheus scrape intervals
cbf1e191f5f8633ebeb58718e93b8125779168cd	Jordan Reyes	jreyes@heliouscloud.io	2019-08-27T09:29:21Z	grafana-dashboards	docs: document alert routing configuration
0a0a3bb32b4fb70e195df20a15410c3ea5fe852c	Jordan Reyes	jreyes@heliouscloud.io	2019-08-30T17:54:38Z	alert-rules-v1	feat: add grafana annotation for deployment events
66abe4d5fd73705417901c9255fd8aaf97766ef4	Jordan Reyes	jreyes@heliouscloud.io	2019-09-02T11:45:24Z	alert-rules-v1	feat: add prometheus job for helios-gateway
f0c0dc3eb9cdf19b47e1aef01940b8e258652ef4	Jordan Reyes	jreyes@heliouscloud.io	2019-09-01T14:33:37Z	helios-internal-infra	fix: correct alert label for env selector
55eec261e38273cd246a1241bfa94ffdd1539a52	Jordan Reyes	jreyes@heliouscloud.io	2019-09-10T11:45:27Z	helios-internal-infra	chore: update grafana dashboard panel configuration
236c3e98c1a2a489db56460ad554b4c443b2bb73	Jordan Reyes	jreyes@heliouscloud.io	2019-09-07T09:27:56Z	helios-internal-infra	docs: add comments to thanos configuration
2c4d8532920ef5cc8249c5168eb0d7c3a58c3c78	Jordan Reyes	jreyes@heliouscloud.io	2019-09-17T14:43:33Z	helios-internal-infra	refactor: extract common alert helper macros
8c7993dcc74c9687e796066c910a7eeb6caee9c9	Jordan Reyes	jreyes@heliouscloud.io	2019-09-25T13:37:31Z	thanos-setup	feat: add SLO tracking for checkout-api
29e831700b5b3de3968629ff56d57970df769ad7	Jordan Reyes	jreyes@heliouscloud.io	2019-09-24T16:46:26Z	alert-rules-v1	fix: resolve incorrect retention period in thanos config
47721f013649a7336707baca85fd485c15f59de7	Jordan Reyes	jreyes@heliouscloud.io	2019-09-22T11:31:45Z	slo-tracker	chore: update prometheus scrape intervals
3b2b7cf32e871af333a1574723eb082c3624d926	Jordan Reyes	jreyes@heliouscloud.io	2019-10-02T10:44:13Z	slo-tracker	docs: document alert routing configuration
03b7c18a1b0094fae43aed0daaf47817f42c2b2a	Jordan Reyes	jreyes@heliouscloud.io	2019-09-28T11:35:23Z	alert-rules-v1	feat: add grafana annotation for deployment events
be27cb6b4e142a5505feb9d8abd19d37a13bc563	Jordan Reyes	jreyes@heliouscloud.io	2019-09-28T15:07:07Z	slo-tracker	feat: add prometheus job for helios-gateway
206e8887b4d221ae6e9d943a18fb3309476a0d26	Jordan Reyes	jreyes@heliouscloud.io	2019-10-05T11:07:23Z	slo-tracker	fix: correct alert label for env selector
ad88528278ab740bada2653bd232b74bdc6f6416	Jordan Reyes	jreyes@heliouscloud.io	2019-10-07T13:31:01Z	grafana-dashboards	chore: update grafana dashboard panel configuration
44211cd247e346f6f79522c15b2994316369f8cb	Jordan Reyes	jreyes@heliouscloud.io	2019-10-18T15:03:59Z	slo-tracker	docs: add comments to thanos configuration
03ca097276afb7b87875ac834a090ba4aad23492	Jordan Reyes	jreyes@heliouscloud.io	2019-10-20T16:00:07Z	prometheus-config	refactor: extract common alert helper macros
a6dc9879d81e4d11e0d8bf4093653549833fa8e2	Jordan Reyes	jreyes@heliouscloud.io	2019-10-19T15:30:36Z	helios-internal-infra	feat: add SLO tracking for checkout-api
2df9c7e3cd6109ca7c6056d74fdbf6a72e650051	Jordan Reyes	jreyes@heliouscloud.io	2019-10-28T16:53:46Z	thanos-setup	fix: resolve incorrect retention period in thanos config
3cfbf5e938af687448a7a39af06a6f6faf7c9abb	Jordan Reyes	jreyes@heliouscloud.io	2019-10-27T17:40:29Z	prometheus-config	chore: update prometheus scrape intervals
738cd32b269b24dc70e1b8ecfd962dda18201588	Jordan Reyes	jreyes@heliouscloud.io	2019-11-05T14:05:51Z	prometheus-config	docs: document alert routing configuration
8d62fa9f877ad34da0bb1a7546330cc887f9726f	Jordan Reyes	jreyes@heliouscloud.io	2019-11-06T15:14:57Z	thanos-setup	feat: add grafana annotation for deployment events
b13fe266c8deb3521d0def50968ad002778aefa9	Jordan Reyes	jreyes@heliouscloud.io	2019-11-06T16:47:17Z	helios-internal-infra	feat: add prometheus job for helios-gateway
32bbe8e94b56cc86e6639b4e273b0bf12a8303c2	Jordan Reyes	jreyes@heliouscloud.io	2019-11-14T13:35:41Z	helios-internal-infra	fix: correct alert label for env selector
50f2b9f85ab6458dc3bda7ffe44220e8fa784347	Jordan Reyes	jreyes@heliouscloud.io	2019-11-16T17:36:48Z	prometheus-config	chore: update grafana dashboard panel configuration
5f50873ea98ba18ceea80e1646fd31f04b2cb345	Jordan Reyes	jreyes@heliouscloud.io	2019-11-20T12:48:30Z	slo-tracker	docs: add comments to thanos configuration
6aceac89aedd4aee931c7474eacaaa89b4d6e059	Jordan Reyes	jreyes@heliouscloud.io	2019-11-16T17:11:01Z	helios-internal-infra	refactor: extract common alert helper macros
b5cece1986b90b2a95d864250d5ce71a94054b2b	Jordan Reyes	jreyes@heliouscloud.io	2019-11-24T16:05:51Z	alert-rules-v1	feat: add SLO tracking for checkout-api
7af8058ff13e6ce82871a4fda4c12e7342a69dcf	Jordan Reyes	jreyes@heliouscloud.io	2019-12-03T09:31:55Z	slo-tracker	fix: resolve incorrect retention period in thanos config
21f57c369dabc9b64ac18448ab24d725c6c38d55	Jordan Reyes	jreyes@heliouscloud.io	2019-12-02T11:26:01Z	thanos-setup	chore: update prometheus scrape intervals
0b1b3559b74ac2663fe47536d04e1138d98e6c3d	Jordan Reyes	jreyes@heliouscloud.io	2019-12-10T10:07:06Z	grafana-dashboards	docs: document alert routing configuration
53167841b63986da69d12cc491c21eedaf702587	Jordan Reyes	jreyes@heliouscloud.io	2019-12-09T11:16:49Z	prometheus-config	feat: add grafana annotation for deployment events
e83814f771dc05e72c7bf6e34ad50cb8c34f0577	Jordan Reyes	jreyes@heliouscloud.io	2019-12-17T11:03:39Z	alert-rules-v1	feat: add prometheus job for helios-gateway
3eed37d29120f345b3f76bad00eee94671aaf8ae	Jordan Reyes	jreyes@heliouscloud.io	2019-12-15T09:19:24Z	helios-internal-infra	fix: correct alert label for env selector
6535b00add13d42f5d5e08e2a47521d6132822da	Jordan Reyes	jreyes@heliouscloud.io	2019-12-24T13:24:52Z	grafana-dashboards	chore: update grafana dashboard panel configuration
ef4658d02fb9744c260f1257b4602e1165b9e860	Jordan Reyes	jreyes@heliouscloud.io	2019-12-29T12:31:32Z	prometheus-config	docs: add comments to thanos configuration
b71dc1016e9fc4bba4d0f76b55fa96215541810f	Jordan Reyes	jreyes@heliouscloud.io	2020-01-04T09:20:29Z	grafana-dashboards	refactor: extract common alert helper macros
a1ed4392e155f5fb0be50b3ce8e480475b4387ad	Jordan Reyes	jreyes@heliouscloud.io	2020-01-04T09:26:40Z	thanos-setup	feat: add SLO tracking for checkout-api
284c142f58983e98ac047f2471b1676729e80a88	Jordan Reyes	jreyes@heliouscloud.io	2020-01-13T10:15:48Z	slo-tracker	fix: resolve incorrect retention period in thanos config
f99ba7fdcd0cb9165dabc204f8eb4fb35ed3640b	Jordan Reyes	jreyes@heliouscloud.io	2020-01-20T15:28:05Z	slo-tracker	chore: update prometheus scrape intervals
df28e606f6eee290c4a4f7bb1cc54cc6f604dcaf	Jordan Reyes	jreyes@heliouscloud.io	2020-01-26T14:34:10Z	prometheus-config	docs: document alert routing configuration
567d619124b9b94c9366545e3ff3afbacc06f81c	Jordan Reyes	jreyes@heliouscloud.io	2020-01-29T17:28:02Z	thanos-setup	feat: add grafana annotation for deployment events
d2fbdfbe905a5bc2521901f1fc1708d2723caea1	Jordan Reyes	jreyes@heliouscloud.io	2020-01-28T13:41:10Z	slo-tracker	feat: add prometheus job for helios-gateway
c1864a15f4968d20dec31f83d6bd46a44b39bd36	Jordan Reyes	jreyes@heliouscloud.io	2020-02-03T13:53:43Z	slo-tracker	fix: correct alert label for env selector
490eda9cec0c95524c427cea7abd6a1f88960dba	Jordan Reyes	jreyes@heliouscloud.io	2020-02-03T12:37:53Z	alert-rules-v1	chore: update grafana dashboard panel configuration
a2c3c5477aa628f0c4f12ed282c41cc127e417d4	Jordan Reyes	jreyes@heliouscloud.io	2020-02-09T17:36:04Z	alert-rules-v1	docs: add comments to thanos configuration
40273b20ba03120f5693d84756cc1ba5682e8cb2	Jordan Reyes	jreyes@heliouscloud.io	2020-02-20T11:46:35Z	helios-internal-infra	refactor: extract common alert helper macros
815f66e268e2347de1b67f34c6dfbb9cbc665419	Jordan Reyes	jreyes@heliouscloud.io	2020-02-18T17:51:20Z	prometheus-config	feat: add SLO tracking for checkout-api
eb59b648d731c7e245b2459447482645132ba7d2	Jordan Reyes	jreyes@heliouscloud.io	2020-02-27T16:17:15Z	grafana-dashboards	fix: resolve incorrect retention period in thanos config
