emp_id,full_name,job_title,dept_code,grade_level,years_of_service,fte_flag,pay_band,schedule_type
RGH-4202,Brian Nguyen,Scheduling Coordinator,CARD-05,GN2,3,true,PB3,day
RGH-4011,Karen Torres,Interventional Cardiology Physician,CARD-01,GN5,10,true,PB3,day
RGH-4095,Debra Durand,Patient Services Coordinator,CARD-04,GN1,6,true,PB1,rotating
RGH-4052,Jason Allen,"Administrative Coordinator, Cardiology",CARD-04,GN1,0,false,PB2,night
RGH-4104,Timothy Allen,"Administrative Coordinator, Cardiology",CARD-04,GN1,7,true,PB1,day
RGH-4176,Maria Robinson,EVS Tech — Cardiac,CARD-04,GN1,3,false,PB2,night
RGH-4234,Richard King,Transport Aide,CARD-04,GN2,7,true,PB2,day
RGH-4071,Sandra Chen,Supply Chain Aide,CARD-04,GN1,5,false,PB1,rotating
RGH-4174,Olivia Jackson,Patient Services Coordinator,CARD-04,GN2,2,true,PB2,rotating
RGH-4041,Nancy Brown,CNS Cardiology,CARD-01,GN3,8,true,PB3,day
RGH-4029,Patrick King,Monitoring Tech — Cardiology,CARD-03,GN2,13,true,PB3,rotating
RGH-4079,Henry Ramirez,IT Support Technician,CARD-05,GN1,2,false,PB1,day
RGH-4030,Elizabeth Singh,Monitoring Tech — Cardiology,CARD-03,GN3,11,true,PB5,night
RGH-4065,Timothy Okonkwo,EVS Tech — Cardiac,CARD-04,GN2,2,false,PB2,night
RGH-4246,Deborah Harris,Documentation Specialist,CARD-05,GN2,4,false,PB3,night
RGH-4184,Kimberly Smith,Documentation Specialist,CARD-05,GN2,5,true,PB1,day
RGH-4032,Ruth Young,Echo Tech,CARD-06,GN3,14,true,PB4,rotating
RGH-4034,Stephanie Miller,Interventional Cardiology Physician,CARD-01,GN5,6,true,PB3,rotating
RGH-4248,Brandon Rivera,Medical Records Specialist,CARD-05,GN1,0,false,PB2,day
RGH-4201,Olivia Nelson,"Administrative Coordinator, Cardiology",CARD-04,GN1,0,false,PB1,day
RGH-4215,Ryan Torres,Scheduling Coordinator,CARD-05,GN1,0,true,PB2,night
RGH-4072,Melissa Carter,Medical Records Specialist,CARD-05,GN2,5,true,PB3,day
RGH-4101,Heather Chen,Documentation Specialist,CARD-05,GN1,3,false,PB3,rotating
RGH-4170,Kathleen Thompson,EVS Tech — Cardiac,CARD-04,GN2,0,true,PB2,rotating
RGH-4082,Henry Hernandez,Pharmacy Liaison,CARD-04,GN2,0,true,PB1,day
RGH-4151,Janet Moore,Medical Records Specialist,CARD-05,GN1,2,false,PB3,night
RGH-4038,Maria Martinez,CICU RN,CARD-03,GN3,1,true,PB3,night
RGH-4056,Donald Wright,Medical Records Specialist,CARD-05,GN2,4,false,PB1,night
RGH-4195,Brian Walker,Transport Aide,CARD-04,GN2,3,true,PB1,rotating
RGH-4213,Daniel Scott,Transport Aide,CARD-04,GN1,2,true,PB3,night
RGH-4001,Diane Garcia,CNS Cardiology,CARD-01,GN4,11,true,PB4,rotating
RGH-4083,Carolyn Singh,EVS Tech — Cardiac,CARD-04,GN2,6,false,PB1,rotating
RGH-4239,Sharon Baker,"Administrative Coordinator, Cardiology",CARD-04,GN1,7,false,PB2,night
RGH-4003,Frank Williams,CNS Cardiology,CARD-01,GN4,5,true,PB5,night
RGH-4230,Amanda Patel,Patient Services Coordinator,CARD-04,GN2,7,false,PB1,night
RGH-4199,Jessica Smith,Pharmacy Liaison,CARD-04,GN1,2,false,PB1,night
RGH-4096,William Young,Transport Aide,CARD-04,GN1,6,true,PB1,day
RGH-4119,Shirley Hill,"Administrative Coordinator, Cardiology",CARD-04,GN1,0,true,PB1,rotating
RGH-4245,Benjamin Lee,Supply Chain Aide,CARD-04,GN2,0,true,PB3,night
RGH-4094,Christine Davis,Patient Services Coordinator,CARD-04,GN2,0,true,PB2,rotating
RGH-4031,Anna Clark,Monitoring Tech — Cardiology,CARD-03,GN3,6,true,PB4,day
RGH-4087,Samuel Taylor,Transport Aide,CARD-04,GN1,2,true,PB3,day
RGH-4171,Kathleen Ramirez,Documentation Specialist,CARD-05,GN1,0,false,PB2,night
RGH-4185,Susan Ramirez,Patient Services Coordinator,CARD-04,GN2,4,true,PB1,night
RGH-4064,Jeffrey Davis,Pharmacy Liaison,CARD-04,GN1,0,false,PB1,day
RGH-4049,Benjamin Jackson,"Administrative Coordinator, Cardiology",CARD-04,GN1,2,true,PB2,night
RGH-4037,Douglas Wright,Cath Lab Tech,CARD-01,GN4,11,true,PB5,night
RGH-4173,Janet Miller,IT Support Technician,CARD-05,GN1,5,true,PB2,rotating
RGH-4127,Gregory Nguyen,Patient Services Coordinator,CARD-04,GN1,7,true,PB2,day
RGH-4085,Donald Chen,Patient Services Coordinator,CARD-04,GN2,4,false,PB3,day
RGH-4002,Eric Thompson,CNS Cardiology,CARD-01,GN3,7,true,PB4,day
RGH-4018,Raymond Lopez,Cath Lab Tech,CARD-01,GN4,5,true,PB3,day
RGH-4169,Patricia Moreau,EVS Tech — Cardiac,CARD-04,GN1,2,true,PB1,rotating
RGH-4102,Joshua Gonzalez,"Administrative Coordinator, Cardiology",CARD-04,GN2,2,false,PB3,rotating
RGH-4172,Maria Walker,Documentation Specialist,CARD-05,GN2,3,false,PB1,rotating
RGH-4027,Douglas Allen,CICU RN,CARD-03,GN5,3,true,PB4,rotating
RGH-4241,Michael Lee,IT Support Technician,CARD-05,GN1,2,false,PB2,night
RGH-4247,Ruth Sanchez,Transport Aide,CARD-04,GN1,3,true,PB2,rotating
RGH-4175,Stephanie Nguyen,Medical Records Specialist,CARD-05,GN1,6,true,PB2,night
RGH-4036,Paul Kim,Device Specialist — EP,CARD-02,GN3,12,true,PB4,night
RGH-4211,Dennis Zhang,Documentation Specialist,CARD-05,GN2,2,true,PB1,rotating
RGH-4132,Diane Anderson,Medical Records Specialist,CARD-05,GN1,4,true,PB2,rotating
RGH-4237,Raymond Nkosi,Medical Records Specialist,CARD-05,GN1,1,true,PB3,day
RGH-4099,Deborah Allen,Documentation Specialist,CARD-05,GN1,0,true,PB3,rotating
RGH-4144,Andrew Laurent,Transport Aide,CARD-04,GN2,2,true,PB3,night
RGH-4203,Janet Roberts,Medical Records Specialist,CARD-05,GN2,3,true,PB3,rotating
RGH-4242,Brandon Rodriguez,Supply Chain Aide,CARD-04,GN2,1,true,PB2,night
RGH-4110,Emma White,Medical Records Specialist,CARD-05,GN2,7,true,PB1,day
RGH-4067,Henry Mehta,Transport Aide,CARD-04,GN1,1,false,PB1,night
RGH-4088,Sandra Anderson,Patient Services Coordinator,CARD-04,GN2,3,false,PB2,day
RGH-4162,Ruth Singh,IT Support Technician,CARD-05,GN2,6,false,PB3,day
RGH-4115,Maria Lim,Pharmacy Liaison,CARD-04,GN2,0,true,PB1,day
RGH-4068,Joyce Garcia,Scheduling Coordinator,CARD-05,GN1,0,false,PB2,rotating
RGH-4103,Amanda Smith,"Administrative Coordinator, Cardiology",CARD-04,GN1,3,true,PB1,rotating
RGH-4193,Jessica Young,Transport Aide,CARD-04,GN1,3,false,PB1,day
RGH-4073,Anthony Thompson,IT Support Technician,CARD-05,GN2,0,true,PB3,night
RGH-4012,Jason Torres,Electrophysiology Coordinator,CARD-02,GN3,6,true,PB3,day
RGH-4221,Betty Harris,Documentation Specialist,CARD-05,GN1,0,false,PB1,night
RGH-4249,Maria Wilson,"Administrative Coordinator, Cardiology",CARD-04,GN2,5,false,PB1,rotating
RGH-4078,Robert Lee,Documentation Specialist,CARD-05,GN1,3,true,PB3,day
RGH-4160,Maria Miller,Documentation Specialist,CARD-05,GN2,4,true,PB3,rotating
RGH-4013,Robert Adams,Electrophysiology Coordinator,CARD-02,GN4,14,true,PB3,night
RGH-4055,Raymond Patel,Patient Services Coordinator,CARD-04,GN1,2,true,PB3,day
RGH-4161,George Hall,Documentation Specialist,CARD-05,GN1,4,true,PB3,night
RGH-4236,Angela Harris,Documentation Specialist,CARD-05,GN1,5,false,PB2,day
RGH-4244,Lisa Anderson,"Administrative Coordinator, Cardiology",CARD-04,GN1,5,false,PB3,day
RGH-4010,Sandra Osei,Interventional Cardiology Physician,CARD-01,GN5,6,true,PB4,day
RGH-4138,Joyce Torres,Transport Aide,CARD-04,GN2,0,false,PB3,day
RGH-4054,Jacob Nguyen,Pharmacy Liaison,CARD-04,GN2,1,true,PB1,day
RGH-4033,Matthew Carter,CNS Cardiology,CARD-01,GN3,2,true,PB5,day
RGH-4240,David Okonkwo,Pharmacy Liaison,CARD-04,GN1,7,true,PB2,night
RGH-4021,Kimberly Adams,Perfusionist (Cardiac),CARD-01,GN4,9,true,PB5,rotating
RGH-4219,Elizabeth Mitchell,EVS Tech — Cardiac,CARD-04,GN2,6,true,PB1,night
RGH-4142,Emma Ramirez,IT Support Technician,CARD-05,GN2,0,false,PB1,day
RGH-4118,Rachel Clark,Supply Chain Aide,CARD-04,GN2,0,false,PB3,rotating
RGH-4035,Brian Wright,Electrophysiology Coordinator,CARD-02,GN3,1,true,PB4,rotating
RGH-4186,Joshua Taylor,Patient Services Coordinator,CARD-04,GN2,7,true,PB3,day
RGH-4165,Benjamin Mitchell,Documentation Specialist,CARD-05,GN1,3,true,PB2,day
RGH-4009,Pamela Bernard,Echocardiography Sonographer,CARD-06,GN4,8,true,PB4,night
RGH-4039,Donald Nkosi,Monitoring Tech — Cardiology,CARD-03,GN2,13,true,PB4,rotating
RGH-4187,Carolyn Martinez,Patient Services Coordinator,CARD-04,GN1,7,true,PB3,night
RGH-4122,Michael Nkosi,Transport Aide,CARD-04,GN1,0,false,PB3,night
RGH-4164,William Nguyen,Patient Services Coordinator,CARD-04,GN2,1,true,PB2,rotating
RGH-4196,Jeffrey Moore,"Administrative Coordinator, Cardiology",CARD-04,GN2,4,false,PB2,night
RGH-4218,Brandon Hall,Medical Records Specialist,CARD-05,GN2,1,true,PB3,night
RGH-4145,Julie Smith,Scheduling Coordinator,CARD-05,GN1,3,true,PB2,night
RGH-4043,Joyce Robinson,Perfusionist (Cardiac),CARD-01,GN4,8,true,PB3,day
RGH-4178,Stephen Zhang,Transport Aide,CARD-04,GN1,0,false,PB3,night
RGH-4062,Donald Lopez,Transport Aide,CARD-04,GN2,5,false,PB2,night
RGH-4143,Debra Torres,"Administrative Coordinator, Cardiology",CARD-04,GN1,4,false,PB1,day
RGH-4216,Andrew Mehta,Supply Chain Aide,CARD-04,GN2,0,false,PB1,day
RGH-4167,Jacob Rodriguez,Transport Aide,CARD-04,GN2,0,false,PB1,night
RGH-4075,James Williams,EVS Tech — Cardiac,CARD-04,GN2,5,true,PB3,day
RGH-4108,Donna Singh,Pharmacy Liaison,CARD-04,GN1,6,true,PB3,rotating
RGH-4183,Kimberly Osei,Patient Services Coordinator,CARD-04,GN1,4,false,PB1,night
RGH-4232,Donald Green,IT Support Technician,CARD-05,GN2,7,true,PB2,rotating
RGH-4222,Anthony Allen,Pharmacy Liaison,CARD-04,GN2,5,true,PB3,rotating
RGH-4048,Joyce King,Medical Records Specialist,CARD-05,GN2,3,true,PB3,rotating
RGH-4112,Lisa Garcia,Supply Chain Aide,CARD-04,GN1,4,true,PB2,night
RGH-4148,Anthony Smith,Documentation Specialist,CARD-05,GN1,2,false,PB1,day
RGH-4223,Emily Mitchell,Transport Aide,CARD-04,GN2,7,false,PB3,rotating
RGH-4074,Catherine Patel,"Administrative Coordinator, Cardiology",CARD-04,GN1,3,false,PB2,rotating
RGH-4209,Maria Okonkwo,Transport Aide,CARD-04,GN1,3,true,PB3,night
RGH-4254,James Durand,EVS Tech — Cardiac,CARD-04,GN1,6,false,PB3,rotating
RGH-4225,William Martin,Scheduling Coordinator,CARD-05,GN1,3,false,PB1,day
RGH-4008,Sarah Sanchez,Echocardiography Sonographer,CARD-06,GN3,4,true,PB5,rotating
RGH-4084,Jeffrey Patel,Supply Chain Aide,CARD-04,GN2,1,false,PB2,night
RGH-4045,Sharon Lee,Supply Chain Aide,CARD-04,GN1,0,true,PB2,night
RGH-4188,Anna Thomas,Transport Aide,CARD-04,GN1,0,false,PB2,rotating
RGH-4020,Jennifer Chen,Cath Lab Tech,CARD-01,GN4,2,true,PB4,day
RGH-4092,Rebecca Gonzalez,EVS Tech — Cardiac,CARD-04,GN1,2,true,PB3,night
RGH-4235,Betty Taylor,Medical Records Specialist,CARD-05,GN1,5,true,PB2,day
RGH-4206,Dennis Lopez,Pharmacy Liaison,CARD-04,GN2,0,false,PB3,night
RGH-4120,Thomas Harris,"Administrative Coordinator, Cardiology",CARD-04,GN1,0,false,PB1,night
RGH-4192,Andrew Chen,Scheduling Coordinator,CARD-05,GN1,4,true,PB1,night
RGH-4141,Amanda Brown,Medical Records Specialist,CARD-05,GN1,0,true,PB2,rotating
RGH-4040,Kathleen Perez,Echocardiography Sonographer,CARD-06,GN3,10,true,PB3,rotating
RGH-4238,Maria Johnson,Supply Chain Aide,CARD-04,GN2,5,true,PB3,rotating
RGH-4017,Patricia Robinson,Device Specialist — EP,CARD-02,GN4,14,true,PB5,rotating
RGH-4139,Jessica Patel,Supply Chain Aide,CARD-04,GN1,0,false,PB1,night
RGH-4006,Helen King,Echo Tech,CARD-06,GN3,10,true,PB5,night
RGH-4114,Carolyn King,Pharmacy Liaison,CARD-04,GN2,4,false,PB2,night
RGH-4189,Gregory Anderson,IT Support Technician,CARD-05,GN2,0,true,PB1,rotating
RGH-4057,Benjamin Martinez,Patient Services Coordinator,CARD-04,GN1,0,true,PB2,day
RGH-4044,Robert Torres,CICU RN,CARD-03,GN3,3,true,PB5,day
RGH-4158,Michael Smith,Supply Chain Aide,CARD-04,GN1,0,false,PB3,night
RGH-4125,Joseph Rivera,"Administrative Coordinator, Cardiology",CARD-04,GN1,3,false,PB3,night
RGH-4134,Gregory Allen,Medical Records Specialist,CARD-05,GN2,0,false,PB3,rotating
RGH-4023,Deborah Durand,CICU RN,CARD-03,GN3,13,true,PB4,day
RGH-4106,William Miller,Medical Records Specialist,CARD-05,GN1,6,false,PB1,rotating
RGH-4004,Scott Garcia,CNS Cardiology,CARD-01,GN4,3,true,PB5,rotating
RGH-4113,Tyler Okonkwo,Scheduling Coordinator,CARD-05,GN1,7,true,PB1,day
RGH-4090,Ruth Thomas,Medical Records Specialist,CARD-05,GN2,0,false,PB1,night
RGH-4107,Emma White,Patient Services Coordinator,CARD-04,GN2,0,true,PB2,day
RGH-4146,David Flores,IT Support Technician,CARD-05,GN1,7,true,PB3,night
RGH-4093,Joshua Flores,"Administrative Coordinator, Cardiology",CARD-04,GN1,1,true,PB3,night
RGH-4047,Angela Carter,Documentation Specialist,CARD-05,GN1,3,false,PB1,rotating
RGH-4205,Emma Hernandez,Patient Services Coordinator,CARD-04,GN1,3,true,PB1,day
RGH-4121,Lisa Torres,Medical Records Specialist,CARD-05,GN1,1,true,PB3,night
RGH-4154,Sandra Okonkwo,Scheduling Coordinator,CARD-05,GN1,0,true,PB3,night
RGH-4198,Larry Johnson,Pharmacy Liaison,CARD-04,GN1,2,true,PB1,rotating
RGH-4060,Carol Durand,Scheduling Coordinator,CARD-05,GN2,1,true,PB3,rotating
RGH-4097,Dennis Smith,Scheduling Coordinator,CARD-05,GN2,2,false,PB1,night
RGH-4105,Tyler Durand,"Administrative Coordinator, Cardiology",CARD-04,GN2,1,false,PB1,night
RGH-4229,Ronald Thomas,Documentation Specialist,CARD-05,GN2,0,false,PB3,night
RGH-4156,Ruth Thompson,IT Support Technician,CARD-05,GN1,0,false,PB1,day
RGH-4116,Paul Mitchell,EVS Tech — Cardiac,CARD-04,GN1,0,false,PB2,night
RGH-4128,Christine Zhang,IT Support Technician,CARD-05,GN1,0,false,PB1,day
RGH-4014,Alexander Laurent,EP Physician,CARD-02,GN5,12,true,PB4,night
RGH-4197,Benjamin Zhang,Pharmacy Liaison,CARD-04,GN2,2,false,PB2,day
RGH-4207,Maria Jones,Transport Aide,CARD-04,GN2,5,true,PB3,rotating
RGH-4133,Nancy Campbell,Pharmacy Liaison,CARD-04,GN2,1,false,PB3,day
RGH-4100,Barbara Torres,EVS Tech — Cardiac,CARD-04,GN1,5,true,PB3,day
RGH-4063,Stephanie Moore,Pharmacy Liaison,CARD-04,GN1,3,false,PB3,night
RGH-4168,Carolyn Johnson,Medical Records Specialist,CARD-05,GN2,1,true,PB2,day
RGH-4050,Rachel Garcia,EVS Tech — Cardiac,CARD-04,GN2,1,true,PB3,night
RGH-4051,Angela Chen,Patient Services Coordinator,CARD-04,GN2,4,false,PB3,rotating
RGH-4177,Sandra Nkosi,Patient Services Coordinator,CARD-04,GN1,6,true,PB2,day
RGH-4182,Kimberly Scott,Patient Services Coordinator,CARD-04,GN1,4,false,PB2,day
RGH-4190,Jennifer Baker,"Administrative Coordinator, Cardiology",CARD-04,GN2,3,true,PB1,day
RGH-4208,Edward Anderson,Documentation Specialist,CARD-05,GN2,4,false,PB1,rotating
RGH-4252,Olivia Rodriguez,Patient Services Coordinator,CARD-04,GN2,5,false,PB1,rotating
RGH-4081,Laura Lee,Pharmacy Liaison,CARD-04,GN1,0,false,PB2,rotating
RGH-4226,Nancy Scott,"Administrative Coordinator, Cardiology",CARD-04,GN1,1,false,PB2,rotating
RGH-4149,Melissa Robinson,Pharmacy Liaison,CARD-04,GN2,7,false,PB3,day
RGH-4089,Dorothy Williams,Supply Chain Aide,CARD-04,GN2,4,false,PB2,rotating
RGH-4152,Linda Baker,Medical Records Specialist,CARD-05,GN1,5,false,PB1,day
RGH-4131,Nancy Thompson,Pharmacy Liaison,CARD-04,GN1,6,false,PB2,night
RGH-4022,Brenda King,Perfusionist (Cardiac),CARD-01,GN4,8,true,PB4,rotating
RGH-4227,Joyce Sanchez,Medical Records Specialist,CARD-05,GN2,7,true,PB3,rotating
RGH-4058,Ruth Perez,EVS Tech — Cardiac,CARD-04,GN2,0,true,PB3,night
RGH-4233,George Osei,EVS Tech — Cardiac,CARD-04,GN1,3,true,PB2,day
RGH-4200,Benjamin Nelson,Pharmacy Liaison,CARD-04,GN2,6,true,PB2,day
RGH-4251,Henry Brown,IT Support Technician,CARD-05,GN2,3,true,PB2,rotating
RGH-4136,Kimberly Harris,Transport Aide,CARD-04,GN1,6,true,PB3,day
RGH-4135,Heather Rodriguez,Documentation Specialist,CARD-05,GN2,6,true,PB3,day
RGH-4217,Kathleen Young,Transport Aide,CARD-04,GN2,3,false,PB3,day
RGH-4212,Paul Jones,Scheduling Coordinator,CARD-05,GN2,6,false,PB3,rotating
RGH-4157,Emily Miller,Transport Aide,CARD-04,GN2,1,true,PB1,night
RGH-4126,George Jones,Patient Services Coordinator,CARD-04,GN2,4,false,PB3,rotating
RGH-4019,Maria Gonzalez,Cath Lab Tech,CARD-01,GN4,7,true,PB4,rotating
RGH-4224,Dennis Sanchez,Transport Aide,CARD-04,GN1,5,false,PB3,night
RGH-4026,Dorothy Allen,CICU RN,CARD-03,GN5,1,true,PB5,rotating
RGH-4111,Robert Hill,Medical Records Specialist,CARD-05,GN1,4,true,PB3,rotating
RGH-4077,Brandon Garcia,IT Support Technician,CARD-05,GN2,4,true,PB3,day
RGH-4220,Carol Lewis,Transport Aide,CARD-04,GN1,3,true,PB3,rotating
RGH-4191,Christopher Singh,IT Support Technician,CARD-05,GN1,0,true,PB1,night
RGH-4150,Steven Martinez,IT Support Technician,CARD-05,GN2,1,true,PB3,rotating
RGH-4025,Stephanie Garcia,CICU RN,CARD-03,GN3,11,true,PB4,day
